NAME,sc0809,sc0910,sc1011,sc1112,sc1213,sc1314,sc1415,sc1516,sc1617
Dawson County,-0.00001348,-0.00005855,0.00000578,0.00002311,0.00007242,-0.00004815,0.00139709,-16.29999576,0.00037633
Deaf Smith County,-0.00002783,0.00003641,-0.00001299,-0.00002435,-0.00000070,0.00004453,0.00004661,-17.19985343,-0.00014147
Denton County,0.00003464,-0.00004850,0.00001422,0.00000802,-0.00002224,0.00000401,-0.00000146,-8.69989900,-0.00008824
DeWitt County,0.00001221,0.00001679,-0.00003473,-0.00001374,-0.00000916,-0.00001107,0.00002366,-16.19998359,0.00013014
Bastrop County,-0.00013193,-0.00002677,0.00036009,0.00021302,0.00057078,-0.00031081,0.00003803,-13.59883050,0.00092117
Bell County,-0.00007986,-0.00023063,0.00052611,0.00001693,-0.00012202,0.00011564,-0.00035968,-14.69975052,0.00044178
Blanco County,-0.00003750,0.00000146,0.00002241,0.00002192,-0.00004725,0.00007306,-0.00007404,-9.70000000,0.00000292
Borden County,0.00002109,-0.00003337,-0.00000192,0.00000920,0.00002455,-0.00002109,-0.00001151,-2.59999962,0.00000729
Brewster County,0.00003064,-0.00003861,0.00000707,-0.00000275,-0.00000426,0.00000415,-0.00000309,-11.19999574,-0.00000174
Briscoe County,-0.00000617,-0.00001503,0.00000308,-0.00000655,0.00001233,0.00001426,0.00008557,-14.49999576,0.00001773
Brooks County,0.00017013,-0.00023273,0.00009206,-0.00008838,-0.00009280,0.00002246,0.00005708,-34.69959530,-0.00031522
Brown County,0.00058899,0.00108828,-0.00181453,0.00037329,-0.00024438,0.00087258,-0.00081957,-17.69923345,-0.00013726
Burnet County,0.00000170,-0.00001225,0.00004151,0.00002008,-0.00006703,0.00000646,0.00001089,-14.39999830,0.00006397
Callahan County,-0.00006169,0.00000000,0.00000964,0.00012222,-0.00010256,0.00004781,-0.00007788,-17.99993368,-0.00001542
Collin County,0.00005333,-0.00006000,0.00003373,-0.00002471,0.00001294,-0.00002039,0.00000039,-7.09988902,-0.00009216
Collingsworth County,-0.00012398,-0.00002419,0.00013456,-0.00013456,0.00000491,0.00019051,-0.00004611,-19.69997808,0.00013230
Colorado County,0.00010885,0.00037401,0.00107672,-0.00030514,0.00017238,-0.00065916,0.00237648,-13.99971307,0.00016417
Comanche County,-0.00088075,0.00489841,-0.00461864,-0.00595114,-0.00026804,0.01178201,-0.00665442,-21.28105830,0.00278783
Concho County,0.00018954,-0.00022975,0.00003602,0.00029235,-0.00033081,0.00007623,0.00008498,-10.59992621,0.00013184
Donley County,-0.00002160,-0.00000186,0.00041302,-0.00041563,-0.00000298,0.00002681,0.00006257,-14.99981155,0.00008156
Duval County,-0.00080351,0.00032357,0.00014166,0.00069495,-0.00136783,0.00024887,0.00037292,-24.49918816,0.00183906
Eastland County,0.00030390,0.00085912,-0.00108210,0.00024386,-0.00043217,0.00054254,-0.00027929,-17.59943397,0.00037698
Edwards County,-0.00002442,0.00003475,-0.00002197,-0.00001934,0.00001869,0.00001426,-0.00001656,-7.69999934,0.00003573
El Paso County,-0.01578840,0.00753557,0.00170124,0.00613116,-0.00467472,0.00602195,-0.00699257,-22.47258711,0.00200458
Erath County,-0.00058510,0.00117244,-0.00157611,0.00071743,0.00062209,-0.00011798,-0.00095785,-24.49755150,-0.00033416
Falls County,0.00035205,0.00046926,-0.00088193,-0.00020746,0.00050698,-0.00042974,-0.00006646,-24.29975437,-0.00003727
Fannin County,0.00012835,-0.00013569,0.00007229,-0.00004910,0.00025360,-0.00024084,-0.00003402,-16.49996212,0.00044534
Fayette County,-0.00003005,-0.00005901,0.00189855,-0.00158539,-0.00020637,0.00080772,-0.00057637,-10.79960067,0.00012346
Fisher County,-0.00008940,0.00003044,0.00005934,0.00007206,-0.00015645,0.00026050,-0.00015877,-19.79977650,-0.00007090
Franklin County,0.00002122,-0.00002711,0.00001415,-0.00001533,0.00000000,0.00017094,-0.00017094,-16.80000000,0.00004244
Frio County,0.00023649,-0.00156262,0.00001470,0.00038078,0.00400168,-0.00171426,-0.00127712,-21.29937691,0.00040988
Gaines County,-0.00040209,-0.00012116,0.00017550,0.00225370,-0.00185230,0.00032764,0.00192745,-10.69854563,-0.00060372
Garza County,0.00018224,-0.00018146,-0.00000233,0.00000504,0.00002675,-0.00003024,0.00000000,-13.39998914,-0.00000698
Gillespie County,-0.00044153,-0.00004550,0.00008444,-0.00023828,0.00027919,0.00041633,-0.00050798,-10.79996989,0.00006055
Gonzales County,0.00029687,-0.00058562,0.00052326,-0.00060771,0.00005976,-0.00004677,0.00007860,-17.19991393,0.00023516
Gray County,-0.00003403,0.00000112,-0.00000411,-0.00000075,0.00000000,0.00001496,-0.00000598,-15.69999663,0.00000449
Grayson County,0.00001810,-0.00002804,0.00005607,-0.00008375,-0.00000887,-0.00000390,0.00000106,-15.59992335,-0.00007311
Robertson County,0.00006867,-0.00004819,-0.00005180,-0.00002972,0.00019797,0.00014737,0.00038389,-15.09889009,-0.00102960
Washington County,-0.00004695,0.00000112,-0.00002627,0.00002683,-0.00002124,0.00003409,-0.00000224,-14.39995697,0.00004303
Ellis County,0.00034758,-0.00038483,0.00015371,-0.00003396,-0.00009931,0.00003249,-0.00004491,-10.99994414,-0.00003688
Cameron County,-0.00088285,-0.00025454,-0.00102441,0.00614263,-0.00233057,0.00316333,-0.00012468,-32.99558985,0.00132413
Reeves County,-0.00019833,-0.00023503,0.00000342,0.00013310,0.00002433,0.00000421,-0.00017229,-14.69983481,-0.00010219
Guadalupe County,0.00059162,-0.00088621,0.00085899,-0.00088087,0.00002625,0.00001118,0.00016431,-10.49996937,0.00032522
